year,PM_lower,PM_mean,PM_upper,ISO3,Country,reporting_region_name,,,REGION,Super_region_name,SUPER-REGION,O3_mean,O3_lower,O3_upper
1990,20.05,20.51,21,ARM,Armenia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,61.64527,57.86578,65.62345
1995,17.84,18.22,18.6,ARM,Armenia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,61.70549,57.72061,65.24123
2000,17.46,17.83,18.19,ARM,Armenia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,61.72142,58.0995,65.468
2005,18.81,19.23,19.66,ARM,Armenia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,61.73759,57.71657,65.37051
2010,20.72,21.22,21.74,ARM,Armenia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,61.87018,58.11229,65.67884
2013,17.37,17.74,18.11,ARM,Armenia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,61.99386,58.30157,65.57944
1990,13.35,13.62,13.9,ATG,Antigua and Barbuda,Caribbean,,,7,Latin America and Caribbean ,5,40.6642,38.2836,43.09815
1995,13.33,13.6,13.87,ATG,Antigua and Barbuda,Caribbean,,,7,Latin America and Caribbean ,5,40.85589,38.62703,43.2401
2000,13.3,13.57,13.84,ATG,Antigua and Barbuda,Caribbean,,,7,Latin America and Caribbean ,5,40.98847,38.53631,43.4609
2005,13.18,13.45,13.71,ATG,Antigua and Barbuda,Caribbean,,,7,Latin America and Caribbean ,5,41.12924,38.76278,43.62967
2010,13.45,13.73,14,ATG,Antigua and Barbuda,Caribbean,,,7,Latin America and Caribbean ,5,41.28214,38.81893,43.66982
2013,15.43,15.76,16.06,ATG,Antigua and Barbuda,Caribbean,,,7,Latin America and Caribbean ,5,41.29878,38.807,43.68828
1990,7.47,7.68,7.89,AUS,Australia,Australasia,,,6,High income,1,35.58274,33.36416,37.80866
1995,7.9,8.11,8.32,AUS,Australia,Australasia,,,6,High income,1,35.66814,33.52996,37.67791
2000,7.95,8.15,8.36,AUS,Australia,Australasia,,,6,High income,1,35.79203,33.65413,37.83946
2005,7.4,7.6,7.81,AUS,Australia,Australasia,,,6,High income,1,35.95319,33.90527,38.16367
2010,6.55,6.75,6.96,AUS,Australia,Australasia,,,6,High income,1,36.11734,34.09172,38.22371
2013,5.73,5.93,6.14,AUS,Australia,Australasia,,,6,High income,1,36.17392,34.05601,38.43411
1990,25.05,25.77,26.55,AUT,Austria,"Europe, Western",,,10,High income,1,62.6809,58.84279,66.21416
1995,19.92,20.38,20.87,AUT,Austria,"Europe, Western",,,10,High income,1,61.88979,58.31971,65.40891
2000,16.34,16.68,17.01,AUT,Austria,"Europe, Western",,,10,High income,1,61.17576,57.53117,64.82303
2005,16.09,16.43,16.75,AUT,Austria,"Europe, Western",,,10,High income,1,60.40327,56.63898,64.13689
2010,15.05,15.37,15.67,AUT,Austria,"Europe, Western",,,10,High income,1,59.763,56.47004,63.22984
2013,14.54,14.84,15.13,AUT,Austria,"Europe, Western",,,10,High income,1,59.37888,55.95713,63.05759
1990,25.67,26.41,27.22,AZE,Azerbaijan,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,59.70808,56.23649,63.12865
1995,22.66,23.25,23.88,AZE,Azerbaijan,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,59.14383,55.68491,62.72885
2000,21.3,21.83,22.38,AZE,Azerbaijan,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,58.83058,55.23554,62.48661
2005,20.17,20.64,21.13,AZE,Azerbaijan,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,58.8016,55.34216,62.3112
2010,20.99,21.5,22.04,AZE,Azerbaijan,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,58.81322,55.27098,62.06903
2013,20.31,20.79,21.29,AZE,Azerbaijan,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,58.79536,55.44182,62.42082
1990,14.4,14.69,14.98,BDI,Burundi,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,53.7034,50.19968,57.03915
1995,14.23,14.52,14.8,BDI,Burundi,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,53.62757,50.64798,56.57154
2000,14.16,14.44,14.73,BDI,Burundi,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,53.5843,50.46545,56.79293
2005,14.57,14.87,15.16,BDI,Burundi,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,53.37437,50.17608,56.64624
2010,15.16,15.48,15.78,BDI,Burundi,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,53.23058,50.0764,56.38565
2013,16.74,17.09,17.44,BDI,Burundi,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,53.19173,49.85648,56.37074
1990,27.75,28.6,29.53,BEL,Belgium,"Europe, Western",,,10,High income,1,48.99535,45.99585,51.90533
1995,23.83,24.47,25.16,BEL,Belgium,"Europe, Western",,,10,High income,1,50.44675,47.44894,53.45895
2000,20.65,21.14,21.66,BEL,Belgium,"Europe, Western",,,10,High income,1,51.69292,48.53055,54.61697
2005,20.08,20.54,21.03,BEL,Belgium,"Europe, Western",,,10,High income,1,52.52881,49.34336,55.62097
2010,18.65,19.06,19.48,BEL,Belgium,"Europe, Western",,,10,High income,1,53.16642,49.73082,56.3275
2013,18.13,18.52,18.92,BEL,Belgium,"Europe, Western",,,10,High income,1,53.67282,50.50502,56.75496
1990,25.48,26.22,27.02,BEN,Benin,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,70.38195,65.79891,74.36005
1995,25.3,26.03,26.82,BEN,Benin,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,71.05698,66.88589,75.26873
2000,25.12,25.84,26.62,BEN,Benin,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,71.58348,67.54368,76.04203
2005,25.07,25.78,26.55,BEN,Benin,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,71.63371,67.5749,76.084
2010,22.91,23.51,24.16,BEN,Benin,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,71.4906,67.11031,75.89011
2013,25.92,26.7,27.54,BEN,Benin,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,71.63457,67.24424,75.90311
1990,28.36,29.24,30.22,BFA,Burkina Faso,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,51.83965,48.63823,54.70335
1995,28.32,29.2,30.17,BFA,Burkina Faso,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,52.1393,49.0997,55.3083
2000,28.28,29.16,30.13,BFA,Burkina Faso,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,52.26104,49.24285,55.35682
2005,29.35,30.27,31.31,BFA,Burkina Faso,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,52.40276,49.34969,55.4138
2010,27.56,28.4,29.32,BFA,Burkina Faso,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,52.36783,49.3054,55.54401
2013,28.33,29.21,30.19,BFA,Burkina Faso,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,52.27721,49.07088,55.44059
1990,28.99,29.9,30.92,BGD,Bangladesh,"Asia, South",,,4,South Asia,3,59.40911,56.02492,63.24752
1995,31.13,32.18,33.34,BGD,Bangladesh,"Asia, South",,,4,South Asia,3,61.01232,57.28791,64.57263
2000,33.44,34.65,35.97,BGD,Bangladesh,"Asia, South",,,4,South Asia,3,63.30378,59.63173,66.85815
2005,38.62,40.16,41.88,BGD,Bangladesh,"Asia, South",,,4,South Asia,3,66.34738,62.35983,70.48705
2010,43.68,45.57,47.71,BGD,Bangladesh,"Asia, South",,,4,South Asia,3,70.0303,66.12029,74.46556
2013,46.25,48.33,50.69,BGD,Bangladesh,"Asia, South",,,4,South Asia,3,72.04435,67.70235,76.30302
1990,27.4,28.24,29.15,BGR,Bulgaria,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,65.96989,62.19965,70.19068
1995,22.67,23.26,23.88,BGR,Bulgaria,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,65.74315,62.02415,69.70204
2000,19.33,19.77,20.22,BGR,Bulgaria,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,65.61201,61.92024,69.63013
2005,18.69,19.1,19.52,BGR,Bulgaria,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,65.22426,61.28469,69.14227
2010,16.87,17.23,17.58,BGR,Bulgaria,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,64.83869,60.86927,68.46101
2013,15.6,15.93,16.24,BGR,Bulgaria,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,64.75832,61.10186,68.69881
1990,38.02,39.52,41.18,BHR,Bahrain,North Africa / Middle East,,,15,North Africa / Middle East,2,89.81555,84.35253,94.79202
1995,37.91,39.4,41.06,BHR,Bahrain,North Africa / Middle East,,,15,North Africa / Middle East,2,95.1248,89.4002,100.9738
2000,38.1,39.6,41.27,BHR,Bahrain,North Africa / Middle East,,,15,North Africa / Middle East,2,99.59016,93.8728,105.7137
2005,41.21,42.93,44.85,BHR,Bahrain,North Africa / Middle East,,,15,North Africa / Middle East,2,102.9089,96.72057,109.1342
2010,45.79,47.83,50.14,BHR,Bahrain,North Africa / Middle East,,,15,North Africa / Middle East,2,105.1283,98.88947,112.2054
2013,41.84,43.6,45.57,BHR,Bahrain,North Africa / Middle East,,,15,North Africa / Middle East,2,107.3535,101.2479,113.6258
1990,13.06,13.33,13.59,BHS,The Bahamas,Caribbean,,,7,Latin America and Caribbean ,5,50.40813,47.28986,53.66373
1995,12.75,13.02,13.27,BHS,The Bahamas,Caribbean,,,7,Latin America and Caribbean ,5,50.40996,47.25264,53.50093
2000,12.64,12.9,13.15,BHS,The Bahamas,Caribbean,,,7,Latin America and Caribbean ,5,50.36765,47.37629,53.35876
2005,11.54,11.78,12.03,BHS,The Bahamas,Caribbean,,,7,Latin America and Caribbean ,5,50.01822,47.25174,53.13465
2010,10.73,10.97,11.21,BHS,The Bahamas,Caribbean,,,7,Latin America and Caribbean ,5,49.7248,46.71024,52.7509
2013,10.69,10.92,11.16,BHS,The Bahamas,Caribbean,,,7,Latin America and Caribbean ,5,49.43707,46.66268,52.47159
1990,21.07,21.58,22.13,BIH,Bosnia and Herzegovina,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,68.75327,64.45873,72.62849
1995,17.83,18.21,18.59,BIH,Bosnia and Herzegovina,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,67.8475,63.74874,72.10136
2000,15.68,16.01,16.32,BIH,Bosnia and Herzegovina,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,66.91319,62.9918,70.71613
2005,15.45,15.78,16.08,BIH,Bosnia and Herzegovina,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,65.95921,62.20883,69.83897
2010,14.18,14.47,14.75,BIH,Bosnia and Herzegovina,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,65.27768,61.4245,69.16938
2013,13.35,13.62,13.9,BIH,Bosnia and Herzegovina,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,64.88435,61.11585,68.72495
1990,24.54,25.22,25.95,BLR,Belarus,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,55.06551,51.83904,58.22128
1995,18.52,18.93,19.34,BLR,Belarus,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,53.10589,50.1353,56.18444
2000,14.94,15.24,15.54,BLR,Belarus,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,51.66402,48.64417,54.63747
2005,14.6,14.9,15.19,BLR,Belarus,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,51.1281,47.8843,54.11978
2010,13.53,13.8,14.07,BLR,Belarus,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,50.99776,48.01325,54.14025
2013,13.33,13.6,13.87,BLR,Belarus,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,50.54204,47.5471,53.51564
1990,7.79,8.01,8.23,BLZ,Belize,Caribbean,,,7,Latin America and Caribbean ,5,45.73968,42.91252,48.44355
1995,7.77,7.99,8.21,BLZ,Belize,Caribbean,,,7,Latin America and Caribbean ,5,46.19521,43.43392,48.83833
2000,7.82,8.04,8.26,BLZ,Belize,Caribbean,,,7,Latin America and Caribbean ,5,46.49491,43.64214,49.41634
2005,7,7.21,7.43,BLZ,Belize,Caribbean,,,7,Latin America and Caribbean ,5,46.5119,43.90821,49.42388
2010,6.51,6.72,6.94,BLZ,Belize,Caribbean,,,7,Latin America and Caribbean ,5,46.35867,43.54461,49.25542
2013,5.51,5.71,5.92,BLZ,Belize,Caribbean,,,7,Latin America and Caribbean ,5,46.26704,43.41335,48.98318
1990,5.14,5.32,5.52,BOL,Bolivia,"Latin America, Andean",,,11,Latin America and Caribbean ,5,49.53898,46.61276,52.38044
1995,5.11,5.3,5.5,BOL,Bolivia,"Latin America, Andean",,,11,Latin America and Caribbean ,5,50.05283,47.03362,53.02976
2000,5.33,5.52,5.72,BOL,Bolivia,"Latin America, Andean",,,11,Latin America and Caribbean ,5,51.39615,48.6402,54.40339
2005,7.69,7.89,8.11,BOL,Bolivia,"Latin America, Andean",,,11,Latin America and Caribbean ,5,54.26135,51.01594,57.5089
2010,8.68,8.88,9.1,BOL,Bolivia,"Latin America, Andean",,,11,Latin America and Caribbean ,5,58.24026,54.90373,61.70845
2013,10.67,10.88,11.11,BOL,Bolivia,"Latin America, Andean",,,11,Latin America and Caribbean ,5,60.27647,56.79475,63.75247
1990,9.48,9.68,9.88,BRA,Brazil,"Latin America, Tropical",,,14,Latin America and Caribbean ,5,43.42918,40.8952,45.98606
1995,8.67,8.86,9.06,BRA,Brazil,"Latin America, Tropical",,,14,Latin America and Caribbean ,5,43.45398,40.98016,46.07415
2000,8.92,9.11,9.31,BRA,Brazil,"Latin America, Tropical",,,14,Latin America and Caribbean ,5,44.29244,41.55713,46.80886
2005,10.97,11.2,11.42,BRA,Brazil,"Latin America, Tropical",,,14,Latin America and Caribbean ,5,46.49052,43.64204,49.32317
2010,13.93,14.23,14.54,BRA,Brazil,"Latin America, Tropical",,,14,Latin America and Caribbean ,5,49.50343,46.48302,52.73434
2013,16.09,16.49,16.93,BRA,Brazil,"Latin America, Tropical",,,14,Latin America and Caribbean ,5,50.96357,47.92495,53.89351
1990,15.39,15.72,16.02,BRB,Barbados,Caribbean,,,7,Latin America and Caribbean ,5,38.68476,36.5096,40.88789
1995,15.44,15.76,16.07,BRB,Barbados,Caribbean,,,7,Latin America and Caribbean ,5,38.87238,36.6307,41.15794
2000,15.46,15.78,16.09,BRB,Barbados,Caribbean,,,7,Latin America and Caribbean ,5,38.99585,36.45515,41.33417
2005,15.62,15.94,16.25,BRB,Barbados,Caribbean,,,7,Latin America and Caribbean ,5,39.12609,37.00541,41.40644
2010,15.8,16.13,16.44,BRB,Barbados,Caribbean,,,7,Latin America and Caribbean ,5,39.17794,36.9427,41.56117
2013,15.77,16.1,16.41,BRB,Barbados,Caribbean,,,7,Latin America and Caribbean ,5,39.20022,36.98595,41.55495
1990,7.69,7.91,8.13,BRN,Brunei,"Asia Pacific, High Income",,,1,High income,1,41.72292,39.20546,44.30804
1995,6.97,7.18,7.4,BRN,Brunei,"Asia Pacific, High Income",,,1,High income,1,39.00175,36.71805,41.28511
2000,6.46,6.66,6.87,BRN,Brunei,"Asia Pacific, High Income",,,1,High income,1,37.39668,35.34465,39.77433
2005,8.79,9.01,9.24,BRN,Brunei,"Asia Pacific, High Income",,,1,High income,1,37.53578,35.39297,39.67901
2010,9,9.22,9.45,BRN,Brunei,"Asia Pacific, High Income",,,1,High income,1,38.68783,36.47018,40.90155
2013,9.25,9.46,9.68,BRN,Brunei,"Asia Pacific, High Income",,,1,High income,1,38.68514,36.44798,40.93002
1990,17.48,17.86,18.25,BTN,Bhutan,"Asia, South",,,4,South Asia,3,56.12841,52.80076,59.50748
1995,18.18,18.59,19.01,BTN,Bhutan,"Asia, South",,,4,South Asia,3,57.54825,54.23405,61.14639
2000,19,19.44,19.91,BTN,Bhutan,"Asia, South",,,4,South Asia,3,59.65126,55.91148,63.13083
2005,21.52,22.07,22.67,BTN,Bhutan,"Asia, South",,,4,South Asia,3,62.63633,58.92713,66.48246
2010,27.06,27.9,28.83,BTN,Bhutan,"Asia, South",,,4,South Asia,3,65.97385,62.14442,70.03481
2013,27.24,28.1,29.07,BTN,Bhutan,"Asia, South",,,4,South Asia,3,67.73589,63.69448,71.65559
1990,7.77,7.99,8.22,BWA,Botswana,"Sub-Saharan Africa, Southern",,,20,Sub-Saharan Africa,7,55.069,51.52182,58.48399
1995,7.58,7.8,8.02,BWA,Botswana,"Sub-Saharan Africa, Southern",,,20,Sub-Saharan Africa,7,55.29943,51.85957,58.67254
2000,7.61,7.83,8.06,BWA,Botswana,"Sub-Saharan Africa, Southern",,,20,Sub-Saharan Africa,7,55.84668,52.62661,59.10114
2005,7.52,7.74,7.97,BWA,Botswana,"Sub-Saharan Africa, Southern",,,20,Sub-Saharan Africa,7,56.62857,53.11337,60.05632
2010,8.17,8.38,8.61,BWA,Botswana,"Sub-Saharan Africa, Southern",,,20,Sub-Saharan Africa,7,57.52652,54.31428,61.01489
2013,9.48,9.7,9.93,BWA,Botswana,"Sub-Saharan Africa, Southern",,,20,Sub-Saharan Africa,7,57.99524,54.55391,61.44293
1990,19.38,19.82,20.27,CAF,Central African Republic,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,79.68262,75.01095,84.7452
1995,19.25,19.68,20.13,CAF,Central African Republic,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,79.43371,74.81586,84.30013
2000,19.15,19.57,20.02,CAF,Central African Republic,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,79.12054,74.56857,84.16389
2005,19.31,19.74,20.19,CAF,Central African Republic,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,78.62939,73.97295,83.24343
2010,18.05,18.44,18.83,CAF,Central African Republic,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,78.08771,73.2434,83.04343
2013,18.9,19.33,19.76,CAF,Central African Republic,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,77.64159,72.91432,82.10926
1990,11.25,11.48,11.71,CAN,Canada,"North America, High Income",,,16,High income,1,57.67933,54.19832,61.17302
1995,10.55,10.77,11,CAN,Canada,"North America, High Income",,,16,High income,1,57.57372,54.1264,61.02959
2000,10.47,10.69,10.92,CAN,Canada,"North America, High Income",,,16,High income,1,57.71153,54.28271,61.14744
2005,11.51,11.75,11.99,CAN,Canada,"North America, High Income",,,16,High income,1,57.38662,53.88168,61.10588
2010,11.62,11.87,12.11,CAN,Canada,"North America, High Income",,,16,High income,1,57.1186,53.49263,60.56515
2013,11.89,12.13,12.37,CAN,Canada,"North America, High Income",,,16,High income,1,56.92027,53.69358,60.34408
1990,22.34,22.91,23.53,CHE,Switzerland,"Europe, Western",,,10,High income,1,63.91237,59.77139,67.59696
1995,19.07,19.5,19.94,CHE,Switzerland,"Europe, Western",,,10,High income,1,63.06247,59.22877,66.91153
2000,16.5,16.85,17.18,CHE,Switzerland,"Europe, Western",,,10,High income,1,62.04747,58.32074,65.87598
2005,17.88,18.26,18.65,CHE,Switzerland,"Europe, Western",,,10,High income,1,61.03994,57.58468,64.61317
2010,15.58,15.91,16.21,CHE,Switzerland,"Europe, Western",,,10,High income,1,60.04131,56.56002,63.5952
2013,17.22,17.59,17.96,CHE,Switzerland,"Europe, Western",,,10,High income,1,59.43687,55.78846,62.85076
1990,16.82,17.22,17.65,CHL,Chile,"Latin America, Southern",,,13,High income,1,45.45857,42.91551,48.05648
1995,18.51,18.99,19.52,CHL,Chile,"Latin America, Southern",,,13,High income,1,44.55222,41.89663,47.10262
2000,18.94,19.45,20,CHL,Chile,"Latin America, Southern",,,13,High income,1,43.86388,41.29639,46.36784
2005,19.02,19.53,20.09,CHL,Chile,"Latin America, Southern",,,13,High income,1,43.59267,40.99825,46.17924
2010,18.36,18.84,19.36,CHL,Chile,"Latin America, Southern",,,13,High income,1,43.59535,41.07097,46.08973
2013,17.91,18.37,18.87,CHL,Chile,"Latin America, Southern",,,13,High income,1,43.31947,40.64165,45.90971
1990,37.71,39.28,41.03,CHN,China,"Asia, East",,,3,"Southeast Asia, East Asia and Oceania",6,57.01595,53.51489,60.45254
1995,40.16,41.89,43.84,CHN,China,"Asia, East",,,3,"Southeast Asia, East Asia and Oceania",6,58.01093,54.51965,61.65355
2000,42.24,44.13,46.26,CHN,China,"Asia, East",,,3,"Southeast Asia, East Asia and Oceania",6,59.06646,55.58031,62.46536
2005,48.63,51,53.68,CHN,China,"Asia, East",,,3,"Southeast Asia, East Asia and Oceania",6,60.83567,57.40042,64.33275
2010,51.52,54.12,57.06,CHN,China,"Asia, East",,,3,"Southeast Asia, East Asia and Oceania",6,62.8241,59.03823,66.71207
2013,51.7,54.33,57.3,CHN,China,"Asia, East",,,3,"Southeast Asia, East Asia and Oceania",6,64.51536,60.66429,67.99151
1990,19.05,19.49,19.95,CIV,Côte d’Ivoire,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,60.60743,57.15548,64.21848
1995,18.93,19.36,19.81,CIV,Côte d’Ivoire,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,61.06298,57.32333,64.60986
2000,18.78,19.21,19.65,CIV,Côte d’Ivoire,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,61.37471,57.67895,64.99629
2005,19.85,20.31,20.79,CIV,Côte d’Ivoire,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,61.26717,57.75069,65.14987
2010,18.14,18.53,18.93,CIV,Côte d’Ivoire,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,61.03354,57.27911,64.56841
2013,19.82,20.29,20.8,CIV,Côte d’Ivoire,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,60.86432,57.45295,64.59581
1990,22.2,22.77,23.39,CMR,Cameroon,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,66.70501,62.65599,70.96293
1995,22.12,22.69,23.3,CMR,Cameroon,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,66.89302,63.06395,70.97565
2000,21.89,22.45,23.05,CMR,Cameroon,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,67.13305,63.11393,70.96094
2005,22.72,23.32,23.97,CMR,Cameroon,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,67.18326,63.10592,71.32172
