measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,11,Indonesia,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,12505.793954344243,16807.70918215609,9031.19743565383
1,Deaths,27,Samoa,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,3.6406993265372587,7.676258957547183,0.9941861277721293
1,Deaths,122,Ecuador,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,672.4710735098515,1118.1958790692431,297.3451404685425
1,Deaths,83,Iceland,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,24.097242973465814,38.67330917647497,9.308680373094598
1,Deaths,93,Sweden,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,134.0968521725552,380.394217568183,5.196009451730858
1,Deaths,8,Taiwan (Province of China),3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,1447.4290756374191,2102.287711869157,834.6892367861757
1,Deaths,108,Belize,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,7.750842301021685,12.061659251093023,3.657781848835924
1,Deaths,43,Albania,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,14.7954940890233,21.80033722893237,7.983966841363227
1,Deaths,1,Global,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,265611.12030394934,348815.3888200515,185408.57271540107
1,Deaths,102,United States,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,9541.110352325606,16181.288019844904,4320.553341995657
1,Deaths,83,Iceland,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,8.795960988804422,19.18275255638031,0.14787650402660085
1,Deaths,8,Taiwan (Province of China),3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,1021.2337822759133,1276.129643934463,761.0326384809529
1,Deaths,74,Andorra,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,3.23720838067066,6.218455222060377,1.2429696998131197
1,Deaths,48,Hungary,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,3106.405180450298,3907.573534320756,2354.938866918256
1,Deaths,22,Fiji,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,89.54481911723413,158.6829652207626,33.13916494443635
1,Deaths,105,Antigua and Barbuda,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,5.51432201889547,8.791715418032183,2.670900581639983
1,Deaths,11,Indonesia,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,6599.655516589205,9877.629971282371,3797.418231924974
1,Deaths,67,Japan,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,6739.415991173997,10246.059050068285,3878.8556283265093
1,Deaths,41,Uzbekistan,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,9204.813507598541,13874.652632870537,3995.581754003734
1,Deaths,128,Guatemala,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,145.38897941995984,234.43803436156162,75.04081309463923
1,Deaths,87,Luxembourg,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,14.724544180165337,25.565248799060615,5.786611135100954
1,Deaths,34,Azerbaijan,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,299.8005594546592,502.42468628648845,110.40836598423843
1,Deaths,125,Colombia,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,3196.701252498553,4711.7169911208475,1736.5310971188705
1,Deaths,111,Dominican Republic,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,281.6858544683781,442.26813820426344,90.91722486305787
1,Deaths,76,Belgium,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,1030.1770234852545,1594.5659256664337,481.9307295920303
1,Deaths,80,France,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,3304.3502349085084,5241.949236198518,1677.0217731834005
1,Deaths,51,Poland,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,2201.1435409156666,3399.917194553855,1191.3618370137333
1,Deaths,55,Slovenia,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,125.86571258190472,190.3162093176453,68.67374192122178
1,Deaths,93,Sweden,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,249.37579686097698,416.97295149890897,81.73525466609736
1,Deaths,41,Uzbekistan,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,928.3700979914295,1323.0777353973228,360.1381102044222
1,Deaths,116,Saint Lucia,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,14.096684664506109,18.326640059644735,10.245700619957425
1,Deaths,6,China,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,141709.1210985236,179704.67521553923,102184.05076058942
1,Deaths,55,Slovenia,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,107.5355673996931,145.74493318905044,74.88767644170845
1,Deaths,15,Myanmar,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,2319.5543228752645,3437.7296109984727,1383.140542554984
1,Deaths,125,Colombia,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,1980.0471956468657,3526.7794318423603,773.1859298254161
1,Deaths,80,France,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,2019.654705845987,2705.4081202108846,1400.7585363565124
1,Deaths,38,Mongolia,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,70.82501944232817,119.13239534318559,18.83557819820076
1,Deaths,93,Sweden,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,326.0682349098111,687.6496950369819,9.85609538254058
1,Deaths,22,Fiji,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,139.2122551314796,245.61411758408755,39.84377937105535
1,Deaths,90,Norway,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,95.09594347680799,169.75040207670537,38.82039393105289
1,Deaths,97,Argentina,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,4045.0639782456165,8992.132993929823,1054.0755675899463
1,Deaths,18,Thailand,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,4485.812700355137,5691.670480050753,3159.9547218849902
1,Deaths,71,Australia,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,511.37382788258094,1212.79275307525,4.715421453604776
1,Deaths,58,Estonia,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,21.877275735847437,40.69303121707945,5.391289778149033
1,Deaths,83,Iceland,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,2.4337850598037427,5.223436093543124,0.03495031876619945
1,Deaths,129,Honduras,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,101.47488715539839,170.1561670423797,52.47671873990164
1,Deaths,140,Bahrain,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,132.99095233525048,158.18963870266717,88.65029833820186
1,Deaths,12,Laos,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,63.386877993437544,109.6724274118403,26.996182162307722
1,Deaths,35,Georgia,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,130.17630222165272,205.5094921527837,66.84858666873777
1,Deaths,48,Hungary,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,328.5135743207991,429.1878091414962,196.71513324581255
1,Deaths,62,Russian Federation,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,5230.844401685276,7692.615103902599,2997.6589813499836
1,Deaths,38,Mongolia,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,248.62636291916144,392.08274258467355,80.12776431571275
1,Deaths,71,Australia,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,487.60974532869596,798.0916576233291,115.17595082187985
1,Deaths,119,Trinidad and Tobago,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,32.25639822707337,52.27456190796675,14.90646733969358
1,Deaths,141,Egypt,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,10362.981432580462,14256.188970230956,6182.306438718996
1,Deaths,18,Thailand,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,2778.2760045900054,4209.145954649998,1440.3487638383683
1,Deaths,29,Tonga,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,1.1528518762823048,2.2819703946509535,0.4290189511701919
1,Deaths,77,Cyprus,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,28.59815615442225,44.262108973217245,16.16189122017618
1,Deaths,147,Libya,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,220.51906917327136,352.19032020609586,106.17793788452758
1,Deaths,106,The Bahamas,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,35.42200564829201,46.66040090222314,23.85385689756969
1,Deaths,123,Peru,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,1111.1866138157336,1730.914196673887,527.7716749689257
1,Deaths,109,Cuba,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,764.0482256078654,1241.477955336827,294.8255550554222
1,Deaths,12,Laos,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,193.35045250922278,326.8554643381986,83.86231154187264
1,Deaths,154,Tunisia,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,2887.8170172035834,3737.035123356939,2156.8960523271367
1,Deaths,25,Federated States of Micronesia,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,2.079782161743914,4.379925727417424,0.509720641907113
1,Deaths,52,Romania,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,824.0329751535035,1259.4521501720712,451.7683668114856
1,Deaths,135,Brazil,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,14639.861215926636,17421.958157474466,11943.117101623306
1,Deaths,163,India,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,30422.532966573723,37100.92492455997,20944.008090166288
1,Deaths,15,Myanmar,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,1587.7100046648839,2357.1987480636676,896.1093411885574
1,Deaths,144,Jordan,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,660.4842113251682,818.436469207144,522.7241102272544
1,Deaths,116,Saint Lucia,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,20.72375448887486,26.50032759298156,12.259752639700148
1,Deaths,125,Colombia,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,871.6490487050729,1250.05219898543,354.9836709560108
1,Deaths,123,Peru,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,468.1337529659163,807.548280638144,180.6643368407832
1,Deaths,106,The Bahamas,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,5.6521683604246045,9.291133640483288,2.408623282713961
1,Deaths,132,Panama,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,170.42497569140622,237.36273566550878,101.03524625969574
1,Deaths,164,Nepal,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,2306.115021816877,3587.573133178703,1278.1510369850278
1,Deaths,157,Yemen,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,161.3573523928323,265.5196482763758,68.13076973768703
1,Deaths,75,Austria,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,390.30978626840994,628.7532548527647,195.23754385817932
1,Deaths,59,Latvia,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,48.5993739440988,86.02558402197523,21.20633918238212
1,Deaths,113,Guyana,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,5.265787824189319,9.839834775193312,1.8907698859931328
1,Deaths,33,Armenia,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,198.94004472128034,314.59510934741166,109.45799509758263
1,Deaths,18,Thailand,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,2166.2919092037537,2862.413131941443,1319.931804303667
1,Deaths,151,Qatar,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,23.8474042048647,32.79154768431743,15.75570744349979
1,Deaths,29,Tonga,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,1.485783419535178,2.821022825650434,0.5163475991351196
1,Deaths,88,Malta,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,84.18323714251174,102.30560375525958,66.76701878029746
1,Deaths,132,Panama,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,70.91059152399959,117.74831733495668,30.06553153541274
1,Deaths,10,Cambodia,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,156.84550183756082,283.05047663634934,80.98227733640609
1,Deaths,19,Timor-Leste,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,37.3135268217401,73.39135672558365,13.155794985031156
1,Deaths,147,Libya,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,291.5785495129063,387.36925334000483,172.9407573030665
1,Deaths,94,Switzerland,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,276.84378182312406,468.77080190243396,132.1723948968505
1,Deaths,45,Bulgaria,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,449.69508937307944,693.5464550036468,254.0401475614334
1,Deaths,33,Armenia,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,193.43604595478584,267.1292108982016,128.62000893743217
1,Deaths,113,Guyana,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,50.372749591504004,80.99753845581387,25.564763734962572
1,Deaths,10,Cambodia,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,396.7001424765974,721.744706355204,215.6141640108979
1,Deaths,151,Qatar,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,25.607029782632015,32.78404814658548,18.950076661836256
1,Deaths,148,Morocco,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,1384.285340118276,2157.640782681987,739.4461792396957
1,Deaths,45,Bulgaria,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,1354.2164745886828,1865.6638566878125,927.750726546185
1,Deaths,176,Comoros,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,4.380411845448816,8.54415172379886,1.8776916446308543
1,Deaths,75,Austria,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,271.05230326932343,371.4534470132593,188.56064399830814
1,Deaths,94,Switzerland,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,203.5198292858901,288.91692065536193,137.37895411189982
1,Deaths,25,Federated States of Micronesia,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,4.45589761183167,9.260609105113419,0.9088242176069905
1,Deaths,110,Dominica,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,5.2473267402075425,8.12939930480535,2.7009911662734085
1,Deaths,139,Algeria,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,464.451758697183,813.241533954458,206.99289839628108
1,Deaths,43,Albania,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,402.45162450559195,571.9302876784516,261.2805972345162
1,Deaths,154,Tunisia,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,376.12278881235966,498.57862980300354,225.15522594365993
1,Deaths,161,Bangladesh,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,9898.918905664668,14307.024606963134,5980.085665491772
1,Deaths,81,Germany,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,6686.47827647899,10554.207904664609,3058.7030136852713
1,Deaths,106,The Bahamas,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,22.16999470931492,29.18255657859139,11.036237182790355
1,Deaths,144,Jordan,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,349.5219076189979,424.9451929931688,214.58625339350579
1,Deaths,98,Chile,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,1247.828296257475,1558.1524013247779,779.5765697236076
1,Deaths,123,Peru,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,532.3806736610511,784.8281665825923,226.1483360220205
1,Deaths,63,Ukraine,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,1760.7513703683792,2984.4552424424137,716.1121220633758
1,Deaths,177,Djibouti,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,93.04258324458877,182.94778701141945,34.93769588456813
1,Deaths,39,Tajikistan,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,156.57833942967986,264.0939017207861,63.59878444236105
1,Deaths,26,Papua New Guinea,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,242.070665857146,603.9152915985443,67.76936242480156
1,Deaths,98,Chile,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,661.1444083440427,883.8528982703305,402.4445072219145
1,Deaths,168,Angola,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,1869.3109588378823,3903.782377406907,784.9580937361499
1,Deaths,132,Panama,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,137.25497983781725,208.91118952416937,52.9326946929247
1,Deaths,139,Algeria,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,1717.7286017043825,2297.3481539526556,1140.3733104347668
1,Deaths,88,Malta,3,Both,22,All Ages,976,Diabetes mellitus type 2,86,Ambient particulate matter pollution,1,Number,2015,23.532920715729738,31.49541410463736,13.194947402616904
1,Deaths,69,Singapore,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,150.81715810787793,219.30613776715848,86.80590767182106
1,Deaths,43,Albania,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,67.31738842883486,108.75435411505441,33.02443886277267
1,Deaths,72,New Zealand,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,82.1594647000988,137.9391639878201,23.428873308004043
1,Deaths,85,Israel,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,299.032422258061,496.5887268481024,172.05802579267345
1,Deaths,53,Serbia,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,2670.595342175251,3477.3580223304484,1830.1219939553573
1,Deaths,136,Paraguay,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,225.1665068980339,363.5532965366837,106.51337823483831
1,Deaths,85,Israel,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,201.78566183754015,268.01089320756466,145.15564082941933
1,Deaths,168,Angola,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,105.74736846663741,216.72665813097035,44.20344191722544
1,Deaths,133,Venezuela,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,845.9600957047872,1571.1836052279198,241.79894784003665
1,Deaths,69,Singapore,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,106.27905389986643,133.8494606235886,80.97574646146354
1,Deaths,72,New Zealand,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,154.7713238505081,335.4099864363765,1.4603892865732937
1,Deaths,191,Zambia,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,268.84069120752906,527.3994724332645,105.8718701628254
1,Deaths,50,Montenegro,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,50.290121467691726,75.8656225647606,30.045289596802125
1,Deaths,36,Kazakhstan,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,2940.06036765292,5195.177532856703,476.9695017044295
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",86,Ambient particulate matter pollution,1,Number,2015,228.5619866390436,497.96845438509627,64.98112482482966
1,Deaths,63,Ukraine,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,36410.364729489396,48164.93386007284,24278.685910607295
1,Deaths,82,Greece,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,694.6958835353737,1141.5491627483848,311.74760996617306
1,Deaths,191,Zambia,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,107.4453061861555,219.42090467707885,40.26474436490076
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,935.3796464523676,2095.644827423031,297.7313565592462
1,Deaths,78,Denmark,3,Both,22,All Ages,493,Ischemic heart disease,86,Ambient particulate matter pollution,1,Number,2015,510.5274998923248,627.6432154852149,401.10979478069646
1,Deaths,136,Paraguay,3,Both,22,All Ages,509,Chronic obstructive pulmonary disease,86,Ambient particulate matter pollution,1,Number,2015,74.46557988200773,129.93271478842965,30.35909296481478
1,Deaths,95,United Kingdom,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,3669.2335479233916,6629.840136078748,1761.8578094727404
1,Deaths,50,Montenegro,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,95.21589742782191,131.12127996703384,63.12616172772313
1,Deaths,168,Angola,3,Both,22,All Ages,494,Stroke,86,Ambient particulate matter pollution,1,Number,2015,307.808512376718,618.1794698389689,123.38254503807433
1,Deaths,40,Turkmenistan,3,Both,22,All Ages,322,Lower respiratory infections,86,Ambient particulate matter pollution,1,Number,2015,250.89002665173123,464.78577604499185,53.81255799846686
